"","rdb_id","lonWGS84","latWGS84","altitude_m","date","precip_mm","precip_type"
"1",1,17.20026,45.88358,262,"5/2/2009",0,NA
"2",1,17.20026,45.88358,262,"1/18/2008",0.1,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"3",1,17.20026,45.88358,262,"3/15/2008",0,NA
"4",1,17.20026,45.88358,262,"8/25/2009",0,NA
"5",1,17.20026,45.88358,262,"6/1/2008",0,NA
"6",1,17.20026,45.88358,262,"11/22/2010",3.8,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"7",1,17.20026,45.88358,262,"12/15/2009",10.2,"solid (sow, snow shower, ice crystals, snow grains, snow pellets)"
"8",1,17.20026,45.88358,262,"7/28/2009",0,NA
"9",1,17.20026,45.88358,262,"8/2/2008",0,NA
"10",1,17.20026,45.88358,262,"7/31/2008",0,NA
"11",1,17.20026,45.88358,262,"6/16/2009",0,NA
"12",1,17.20026,45.88358,262,"4/24/2008",0.1,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"13",1,17.20026,45.88358,262,"12/14/2010",0,NA
"14",1,17.20026,45.88358,262,"7/18/2008",17.2,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"15",1,17.20026,45.88358,262,"5/23/2010",0,NA
"16",1,17.20026,45.88358,262,"9/5/2009",7.7,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"17",1,17.20026,45.88358,262,"9/28/2008",0,NA
"18",1,17.20026,45.88358,262,"12/5/2009",0,NA
"19",1,17.20026,45.88358,262,"5/20/2009",0.7,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"20",1,17.20026,45.88358,262,"12/31/2010",0,"precipitation amount = 0.0 (traces)"
"21",1,17.20026,45.88358,262,"8/29/2008",0,NA
"22",1,17.20026,45.88358,262,"9/26/2009",0,NA
"23",1,17.20026,45.88358,262,"9/23/2010",0,NA
"24",1,17.20026,45.88358,262,"10/22/2009",0,NA
"25",1,17.20026,45.88358,262,"7/23/2009",0,NA
"26",1,17.20026,45.88358,262,"7/27/2009",0,NA
"27",1,17.20026,45.88358,262,"10/24/2009",38.4,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"28",1,17.20026,45.88358,262,"10/24/2010",0,NA
"29",1,17.20026,45.88358,262,"3/27/2009",1.1,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"30",1,17.20026,45.88358,262,"5/29/2009",2.9,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"31",1,17.20026,45.88358,262,"6/26/2009",0.3,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"32",2,16.86949,45.90971,141,"12/22/2010",0,NA
"33",2,16.86949,45.90971,141,"10/26/2009",0,NA
"34",2,16.86949,45.90971,141,"6/6/2008",48.4,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"35",2,16.86949,45.90971,141,"6/7/2010",0,NA
"36",2,16.86949,45.90971,141,"4/11/2009",0,NA
"37",2,16.86949,45.90971,141,"1/24/2009",7.7,"liquid, solid and mixed - diferent times during the day ( 1, 2 and 3 )"
"38",2,16.86949,45.90971,141,"6/26/2010",2,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"39",2,16.86949,45.90971,141,"5/12/2009",0,NA
"40",2,16.86949,45.90971,141,"2/27/2010",21.3,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"41",2,16.86949,45.90971,141,"11/14/2010",0,NA
"42",2,16.86949,45.90971,141,"1/4/2008",0,NA
"43",2,16.86949,45.90971,141,"9/12/2008",0,NA
"44",2,16.86949,45.90971,141,"6/17/2009",1.2,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"45",2,16.86949,45.90971,141,"7/12/2009",0,NA
"46",2,16.86949,45.90971,141,"2/14/2009",0,NA
"47",2,16.86949,45.90971,141,"2/7/2009",0,NA
"48",2,16.86949,45.90971,141,"1/6/2010",13.3,"liquid, solid and mixed - diferent times during the day ( 1, 2 and 3 )"
"49",2,16.86949,45.90971,141,"11/29/2009",12.2,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"50",2,16.86949,45.90971,141,"5/13/2009",13.9,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"51",2,16.86949,45.90971,141,"2/5/2010",0,NA
"52",2,16.86949,45.90971,141,"3/15/2008",0,NA
"53",3,17.21002,45.59137,161,"4/27/2010",0,NA
"54",3,17.21002,45.59137,161,"6/14/2009",0,NA
"55",3,17.21002,45.59137,161,"6/13/2008",14.7,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
"56",3,17.21002,45.59137,161,"7/22/2010",0,NA
"57",3,17.21002,45.59137,161,"7/7/2008",0,NA
"58",3,17.21002,45.59137,161,"7/22/2009",0,NA
"59",3,17.21002,45.59137,161,"7/2/2010",0,NA
"60",3,17.21002,45.59137,161,"7/20/2009",0,NA
"61",3,17.21002,45.59137,161,"9/22/2010",0,NA
"62",3,17.21002,45.59137,161,"4/7/2008",0,NA
"63",3,17.21002,45.59137,161,"2/2/2008",0,NA
